iterations,itlb,dtlb,stlb
1,113,316,162
51,291,3189,283
101,158,6318,236
151,182,11021,241
201,194,14375,230
251,380,15138,226
301,479,18379,289
351,290,22657,246
401,617,25288,374
451,308,29308,373
501,654,31314,275
551,798,35226,270
601,273,39881,282
651,292,43181,346
701,405,45116,327
751,400,46311,455
801,246,52684,330
851,301,55106,349
901,263,60729,290
951,862,62406,362
1001,942,63409,377
