threads,tlb-shootdown,tlb-miss,pagefault,time
1,17,10520353,2631,3.597992825
2,17,21503521,2675,5.080520040
3,17,42794802,2636,6.857520344
4,17,69721234,2635,8.802150844
5,18,92373337,2638,12.099802233
6,19,121555009,2643,14.882364583
7,20,149370019,2643,16.978663164
